nr,id,name,year,type,series_1,series_2,series_3,image
226,HTB10,'91 GMC Syclone,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/6/69/Chevy_Syclone_%28HW_The_%2890s%29._White.jpg
227,HRY57,VW T3 Custom,2024,Mainline,HW Vans,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/3/37/VWT3Custom.jpg
228,HRY92,Small Bloc,2024,Mainline,Tooned,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/9/90/SmallBloc.jpg
229,HTC71,2016 Ford GT Race,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/6/6b/2016_Ford_GT_Race.jpg
230,HTB02,'59 Chevy Impala,2024,Mainline,HW Celebration Racers,Day of the Dead/Halloween,Treasure Hunt,https://static.wikia.nocookie.net/hotwheels/images/8/89/CelebrationImpala.jpg
231,HTB87,Celero GT,2024,Mainline,Quarter Mile Heroes,null,null,https://static.wikia.nocookie.net/hotwheels/images/6/61/CeleroGTRacer.jpg
231,HTF42,Celero GT (Super Treasure Hunt),2024,Mainline,Quarter Mile Heroes,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/42/Tiaozi-%E5%A1%9E%E7%BD%97GT%E8%B6%85%E5%AE%9D.jpg
232,HTB09,Toyota Supra,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/43/1994ToyotaSupraRZ.jpg
233,HTB30,HW Roll Cage,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/03/Roll_Cage_2024.jpg
234,HTB31,Tred Shredder,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/6/68/Thumbnail_PXL_20241116_194518602.jpg
235,HRY89,Gordon Murray Automotive T.50s,2024,Mainline,HW Exotics,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/e/ec/GMAT.50S.jpg
236,HTF28,DMC DeLorean,2024,Mainline,HW Rolling Metal,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/4/48/RollingDeLorean.jpg
237,HTB86,Retro-Active,2024,Mainline,Quarter Mile Heroes,null,null,https://static.wikia.nocookie.net/hotwheels/images/c/cc/2024_Retro-Active.jpg
238,HRY91,Tesla Model S Plaid,2024,Mainline,Quarter Mile Heroes,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/e/eb/TeslaModelSPlaid.jpg
239,HTC25,Lamborghini Huracán LP 620-2 Super Trofeo,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/0d/LamborghiniHurac%C3%A1nST.jpg
239,HTF43,Lamborghini Huracán LP 620-2 Super Trofeo (Super Treasure Hunt),2024,Mainline,HW Exotics,null,null,https://images.collecthw.com/aa3dfad6-8159-4fb2-acb7-6ca9b0b27f00_large.jpg
240,HTC26,'17 Ford GT,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/1/10/2017FordGTCoupe.jpg
241,HTC27,Dodge Viper SRT10 ACR,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/d4/DodgeACR.jpg
242,HTC72,LB-Silhouette WORKS GT Nissan 35GT-RR VER.2,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/d8/LBGT-R.jpg
243,HTB11,McLaren F1,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/a/a2/1996McLarenF1.jpg
244,HTB12,'98 Subaru Impreza 22B STi-Version,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/3/34/GravelCrew22B.jpg
244,HYYxx,'98 Subaru Impreza 22B STi-Version (2nd Color),2024,Mainline,HW: The '90s,null,null,null
245,HTF29,Porsche 928S Safari,2024,Mainline,HW Dirt,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/2/24/1977Porsche928Safari.jpg
246,HTB55,Tesla Cybertruck,2024,Mainline,HW Rolling Metal,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/95/HTB55.jpg
247,HRY94,Hi-Roller II,2024,Mainline,HW Rolling Metal,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/4/42/Hi-RollerII.jpg
248,HTB95,Dodge Van,2024,Mainline,HW Vans,null,null,https://static.wikia.nocookie.net/hotwheels/images/7/7f/DodgeRamVanRacing.jpg
248,HYYxx,Dodge Van (2nd Color),2024,Mainline,HW Vans,null,null,null
249,HTC73,'83 Chevy Silverado,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/6/6e/1983ChevroletSilverado.jpg
249,HTF44,'83 Chevy Silverado (Super Treasure Hunt),2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/2/2c/Silverado_sth.jpg
249,HYYxx,'83 Chevy Silverado (2nd Color),2024,Mainline,Then and Now,null,null,https://1stationhub.com.my/cdn/shop/files/HOTWHEELS_HW_ART_CARS_67_CHEVY_C10_RED_2_1024x1024.jpg
250,HRY93,Ford Mustang Dark Horse,2024,Mainline,Then and Now,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/5/57/FordMustangDarkHorse.jpg
